W,10
z,-5
i,-4
g,59
Q,10
v,-1
w,-3
l,-7
P,-1
R,-4
F,63
K,-6
x,78
P,-1
l,-3
h,59
S,-9
Y,-1
s,33
z,-1
P,48
d,-5
m,-8
S,10
n,3
x,-1
M,-2
b,99
w,42
g,61
a,-1
v,-1
m,22
I,-9
Z,59
b,30
F,-9
s,28
F,-5
p,-8
R,-2
A,-8
T,36
L,-4
g,-2
,-47
g,-8
l,14
U,-1
I,-7
q,11
j,-1
G,-8
z,-1
H,-1
h,-1
z,-5
W,-1
E,87
G,11
y,-3
I,73
W,-4
F,-6
d,27
G,97
M,81
q,-6
l,-1
s,-3
v,67
T,-4
L,-2
N,55
B,98
m,83
s,-1
t,-2
f,10
i,28
v,4
Q,-1
T,29
E,12
h,-2
k,-7
O,5
Q,32
C,10
u,-4
x,-9
q,-9
G,52
z,11
D,97
Q,43
d,-1
M,-7
u,-1
G,63
M,-6
R,23
o,-1
u,29
T,44
p,-1
G,-7
M,-7
F,-8
p,-8
s,-3
G,73
o,-7
c,-4
F,21
w,69
M,49
H,52
R,-2
w,20
K,96
K,-3
g,88
d,-4
D,-3
f,-1
N,-3
L,11
B,-1
z,75
d,-5
f,10
W,-5
O,-1
S,-4
w,94
d,87
G,88
b,-9
B,10
e,12
O,-8
e,4
I,86
Z,-9
e,85
I,-7
g,15
b,64
t,-4
X,64
E,-8
A,-1
g,87
o,66
z,65
G,11
k,-9
d,-1
W,20
d,32
U,-1
q,-2
e,45
L,-1
E,32
V,-9
t,-6
M,-8
E,-9
v,17
k,37
b,11
b,11
u,74
I,54
K,-7
I,-5
C,-1
N,-1
a,82
y,43
y,-6
Z,95
Z,-6
T,73
T,-1
Y,-4
O,12
o,-4
W,17
w,11
c,11
T,89
y,75
I,-1
w,-1
C,48
o,20
B,-7
q,10
N,-8
W,11
H,-3
L,-4
H,77
b,-1
h,-4
v,-2
z,-5
R,97
T,-5
V,-1
z,-5
F,16
D,-6
e,-3
D,10
y,-6
j,-3
P,10
J,-8
o,57
i,-8
Y,32
c,14
N,86
N,-1
a,-1
a,10
M,69
n,12
q,-6
n,47
c,-1
x,11
J,-1
M,12
I,-3
k,-3
x,-4
a,-3
G,10
p,-3
f,69
X,-3
m,87
i,96
Q,-1
e,-4
E,79
d,-1
n,-7
j,69
s,64
N,-1
p,-9
r,-5
F,-9
t,-9
B,-6
n,-2
h,11
I,-8
n,89
K,-6
q,42
S,34
P,15
m,-2
o,-3
p,13
D,11
I,-6
c,-1
U,-8
k,-7
N,-1
c,-3
q,4
P,-1
a,11
Q,76
l,-9
I,85
w,-4
x,-1
R,-2
L,28
Q,28
W,-3
h,35
Z,-8
P,41
n,-4
Y,-7
Y,26
S,-1
b,-4
R,-1
i,-1
t,12
X,-2
A,10
l,59
t,-9
m,-2
u,11
U,-2
F,25
U,-9
i,10
B,-1
L,97
B,78
f,10
U,-1
u,-2
D,54
u,-6
b,-1
A,26
d,-8
p,58
x,98
Z,-6
O,-6
b,37
N,12
P,87
U,94
y,-9
c,72
t,-1
e,-1
x,-5
h,-7
k,-2
q,-1
e,-5
p,-1
p,10
V,-1
R,11
o,-1
E,-9
o,-8
N,-9
x,-3
X,88
e,-1
U,-2
H,10
O,76
L,-1
R,-7
V,-3
S,34
n,31
